SIX.SK	192.108.145.10	2607
SIX.SK	192.108.145.25	34820
SIX.SK	192.108.145.15	42841
SwissIX	91.206.52.153	13101
SwissIX	91.206.52.37	9044
SwissIX	91.206.52.158	41549
SwissIX	91.206.52.111	200924
SwissIX	91.206.52.102	49605
SwissIX	91.206.52.46	33845
SwissIX	91.206.52.10	1764
SwissIX	91.206.52.20	6772
SwissIX	91.206.52.186	29222
SwissIX	91.206.52.99	5385
SwissIX	91.206.52.156	15716
SwissIX	91.206.52.217	22822
SwissIX	91.206.52.198	14413
SwissIX	91.206.52.70	43284
SwissIX	91.206.52.59	12333
SwissIX	91.206.52.181	7713
SwissIX	91.206.52.205	24482
SwissIX	91.206.52.96	31042
SwissIX	91.206.52.55	15623
SwissIX	91.206.52.57	51184
SwissIX	91.206.52.3	13030
SwissIX	91.206.52.93	16265
SwissIX	91.206.52.159	6507
SwissIX	91.206.52.194	51768
SwissIX	91.206.52.167	49489
SwissIX	91.206.52.38	59890
SwissIX	91.206.52.149	15547
SwissIX	91.206.52.88	60804
SwissIX	91.206.52.83	20562
SwissIX	91.206.52.184	20984
SwissIX	91.206.52.25	31736
SwissIX	91.206.52.109	198385
SwissIX	91.206.52.121	41549
SwissIX	91.206.52.185	59622
SwissIX	91.206.52.189	35054
SwissIX	91.206.52.26	8966
SwissIX	91.206.52.73	43531
SwissIX	91.206.52.164	49237
SwissIX	91.206.52.60	202194
SwissIX	91.206.52.134	203340
SwissIX	91.206.52.209	29545
SwissIX	91.206.52.2	8758
SwissIX	91.206.52.215	44444
SwissIX	91.206.52.65	51395
SwissIX	91.206.52.31	48461
SwissIX	91.206.52.40	48362
SwissIX	91.206.52.172	8220
SwissIX	91.206.52.142	3216
SwissIX	91.206.52.48	34578
IX Australia QLD	218.100.76.45	17559
IX Australia QLD	218.100.76.22	45437
IX Australia QLD	218.100.76.3	136001
IX Australia QLD	218.100.76.49	8075
BIX	193.188.137.30	41303
BIX	193.188.137.141	42864
BIX	193.188.137.156	50031
BIX	193.188.137.53	5400
BIX	193.188.137.24	29405
BIX	193.188.137.149	9050
BIX	193.188.137.22	9146
BIX	193.188.137.40	3340
BIX	193.188.137.140	24806
MIX-IT	217.29.66.151	199947
MIX-IT	217.29.66.148	8966
MIX-IT	217.29.66.221	39217
MIX-IT	217.29.66.158	24482
MIX-IT	217.29.66.248	198380
MIX-IT	217.29.66.70	21176
MIX-IT	217.29.68.101	24608
MIX-IT	217.29.66.171	199837
MIX-IT	217.29.66.12	5394
MIX-IT	217.29.66.211	34606
MIX-IT	217.29.66.243	198380
MIX-IT	217.29.66.36	34695
MIX-IT	217.29.66.240	196749
MIX-IT	217.29.66.223	206693
MIX-IT	217.29.66.23	15433
MIX-IT	217.29.66.212	8075
MIX-IT	217.29.66.123	43531
MIX-IT	217.29.66.113	39729
MIX-IT	217.29.66.169	201877
MIX-IT	217.29.66.132	198721
MIX-IT	217.29.66.246	12709
MIX-IT	217.29.66.124	12041
MIX-IT	217.29.66.208	51708
MIX-IT	217.29.66.32	9104
MIX-IT	217.29.66.195	48519
MIX-IT	217.29.66.58	47927
MIX-IT	217.29.66.216	57463
MIX-IT	217.29.66.174	59699
