103.11.202.0/24|103.11.202.0/24|33517|1|7|18|8|2|0|0.25|0.0|2|1|1.25|0.433|3|2|2.952|0.213
103.245.222.0/24|103.245.222.0/24|54113|1|14|18|77|29|0|0.38|0.0|2|1|1.377|0.485|3|2|2.694|0.461
103.247.36.0/24|103.247.36.0/24|64089|1|3|18|1|1|1|1.0|1.0|12|12|12.0|0.0|4|3|3.054|0.226
104.156.80.0/24|104.156.80.0/24|54113|1|25|18|283|158|22|0.56|0.08|3|1|1.636|0.622|3|2|2.49|0.5
104.156.81.0/24|104.156.81.0/24|54113|1|25|18|280|150|22|0.53|0.07|12|1|1.646|0.878|3|2|2.51|0.5
104.156.84.0/24|104.156.84.0/24|54113|1|25|18|283|158|22|0.56|0.08|3|1|1.636|0.622|3|2|2.49|0.5
104.156.85.0/24|104.156.85.0/24|54113|1|25|18|280|150|22|0.53|0.07|12|1|1.646|0.878|3|2|2.51|0.5
104.245.57.0/24|104.245.56.0/21|40627|1|64|18|1867|766|41|0.41|0.02|12|1|1.438|0.592|4|2|2.072|0.339
104.37.176.0/24|104.37.176.0/24|23393|1|66|18|2043|658|29|0.32|0.01|12|1|1.346|0.602|3|2|2.024|0.152
104.37.177.0/24|104.37.177.0/24|23393|1|66|18|2043|658|29|0.32|0.01|12|1|1.346|0.602|3|2|2.024|0.152
104.37.178.0/24|104.37.178.0/24|23393|1|66|18|2043|658|29|0.32|0.01|12|1|1.346|0.602|3|2|2.024|0.152
104.37.180.0/24|104.37.180.0/24|23393|1|66|18|2043|658|29|0.32|0.01|12|1|1.346|0.602|3|2|2.024|0.152
104.102.245.0/24|104.64.0.0/10|35994|1|2|18|0|0|0|0|0|0|0|0|0|4|2|3.214|0.558
104.103.234.0/24|104.64.0.0/10|35994|1|2|18|0|0|0|0|0|0|0|0|0|4|2|3.214|0.558
104.104.58.0/24|104.64.0.0/10|35994|1|2|18|0|0|0|0|0|0|0|0|0|4|2|3.214|0.558
107.154.251.0/24|107.154.251.0/24|19551|1|29|18|360|196|23|0.54|0.06|3|1|1.608|0.605|3|2|2.333|0.471
107.154.70.0/24|107.154.70.0/24|19551|1|5|18|6|3|1|0.5|0.17|3|1|1.667|0.745|4|2|3.018|0.233
107.154.71.0/24|107.154.71.0/24|19551|1|4|18|3|0|0|0.0|0.0|1|1|1.0|0.0|4|2|3.019|0.235
131.253.33.0/24|131.253.32.0/20|8075|1|115|18|6205|4381|696|0.7|0.11|12|1|1.856|0.756|2|1|1.986|0.118
140.205.122.0/24|140.205.122.0/24|45102|1|14|18|76|33|9|0.44|0.12|12|1|1.789|1.801|3|2|2.871|0.335
144.254.254.0/24|144.254.254.0/24|42|1|61|18|1729|772|22|0.44|0.01|3|1|1.459|0.523|3|1|2.034|0.237
146.112.255.0/24|146.112.255.0/24|36692|1|30|18|407|164|6|0.4|0.01|12|1|1.442|0.743|3|2|2.305|0.46
146.112.60.0/24|146.112.60.0/24|36692|1|56|18|1438|623|23|0.43|0.01|12|1|1.487|0.857|3|2|2.026|0.158
146.112.61.0/24|146.112.61.0/24|36692|1|37|18|623|273|9|0.43|0.01|12|1|1.469|0.677|3|2|2.117|0.321
146.88.138.0/24|146.88.138.0/24|54104|1|3|18|0|0|0|0|0|0|0|0|0|3|2|2.922|0.268
146.88.139.0/24|146.88.139.0/24|54104|1|3|18|0|0|0|0|0|0|0|0|0|3|2|2.922|0.268
146.88.142.0/24|146.88.142.0/24|54104|1|3|18|0|0|0|0|0|0|0|0|0|3|2|2.922|0.268
149.112.112.0/24|149.112.112.0/24|42|1|69|18|2205|1081|97|0.49|0.04|5|1|1.557|0.654|3|1|1.989|0.232
149.112.149.0/24|149.112.149.0/24|42|1|69|18|2205|1081|97|0.49|0.04|5|1|1.557|0.654|3|1|1.989|0.232
151.101.108.0/24|151.101.0.0/16|54113|1|20|18|169|67|0|0.4|0.0|2|1|1.396|0.489|3|2|2.636|0.481
151.101.109.0/24|151.101.0.0/16|54113|1|20|18|169|67|0|0.4|0.0|2|1|1.396|0.489|3|2|2.636|0.481
151.101.110.0/24|151.101.0.0/16|54113|1|20|18|169|67|0|0.4|0.0|2|1|1.396|0.489|3|2|2.636|0.481
151.101.111.0/24|151.101.0.0/16|54113|1|20|18|169|67|0|0.4|0.0|2|1|1.396|0.489|3|2|2.636|0.481
151.101.144.0/24|151.101.0.0/16|54113|1|20|18|169|67|0|0.4|0.0|2|1|1.396|0.489|3|2|2.636|0.481
151.101.145.0/24|151.101.0.0/16|54113|1|20|18|169|67|0|0.4|0.0|2|1|1.396|0.489|3|2|2.636|0.481
151.101.146.0/24|151.101.0.0/16|54113|1|20|18|169|67|0|0.4|0.0|2|1|1.396|0.489|3|2|2.636|0.481
151.101.147.0/24|151.101.0.0/16|54113|1|20|18|169|67|0|0.4|0.0|2|1|1.396|0.489|3|2|2.636|0.481
151.101.152.0/24|151.101.0.0/16|54113|1|20|18|169|67|0|0.4|0.0|2|1|1.396|0.489|3|2|2.636|0.481
151.101.153.0/24|151.101.0.0/16|54113|1|20|18|169|67|0|0.4|0.0|2|1|1.396|0.489|3|2|2.636|0.481
151.101.154.0/24|151.101.0.0/16|54113|1|20|18|169|67|0|0.4|0.0|2|1|1.396|0.489|3|2|2.636|0.481
151.101.155.0/24|151.101.0.0/16|54113|1|20|18|169|67|0|0.4|0.0|2|1|1.396|0.489|3|2|2.636|0.481
151.101.156.0/24|151.101.0.0/16|54113|1|20|18|169|67|0|0.4|0.0|2|1|1.396|0.489|3|2|2.636|0.481
151.101.157.0/24|151.101.0.0/16|54113|1|20|18|169|67|0|0.4|0.0|2|1|1.396|0.489|3|2|2.636|0.481
151.101.158.0/24|151.101.0.0/16|54113|1|20|18|169|67|0|0.4|0.0|2|1|1.396|0.489|3|2|2.636|0.481
151.101.159.0/24|151.101.0.0/16|54113|1|20|18|169|67|0|0.4|0.0|2|1|1.396|0.489|3|2|2.636|0.481
151.101.164.0/24|151.101.0.0/16|54113|1|20|18|169|67|0|0.4|0.0|2|1|1.396|0.489|3|2|2.636|0.481
151.101.165.0/24|151.101.0.0/16|54113|1|20|18|169|67|0|0.4|0.0|2|1|1.396|0.489|3|2|2.636|0.481
151.101.166.0/24|151.101.0.0/16|54113|1|20|18|169|67|0|0.4|0.0|2|1|1.396|0.489|3|2|2.636|0.481
151.101.167.0/24|151.101.0.0/16|54113|1|20|18|169|67|0|0.4|0.0|2|1|1.396|0.489|3|2|2.636|0.481
151.101.168.0/24|151.101.0.0/16|54113|1|20|18|169|67|0|0.4|0.0|2|1|1.396|0.489|3|2|2.636|0.481
151.101.169.0/24|151.101.0.0/16|54113|1|20|18|169|67|0|0.4|0.0|2|1|1.396|0.489|3|2|2.636|0.481
151.101.170.0/24|151.101.0.0/16|54113|1|20|18|169|67|0|0.4|0.0|2|1|1.396|0.489|3|2|2.636|0.481
151.101.171.0/24|151.101.0.0/16|54113|1|20|18|169|67|0|0.4|0.0|2|1|1.396|0.489|3|2|2.636|0.481
151.101.176.0/24|151.101.0.0/16|54113|1|20|18|169|67|0|0.4|0.0|2|1|1.396|0.489|3|2|2.636|0.481
151.101.177.0/24|151.101.0.0/16|54113|1|20|18|169|67|0|0.4|0.0|2|1|1.396|0.489|3|2|2.636|0.481
151.101.178.0/24|151.101.0.0/16|54113|1|20|18|169|67|0|0.4|0.0|2|1|1.396|0.489|3|2|2.636|0.481
151.101.179.0/24|151.101.0.0/16|54113|1|20|18|169|67|0|0.4|0.0|2|1|1.396|0.489|3|2|2.636|0.481
151.101.180.0/24|151.101.0.0/16|54113|1|20|18|169|67|0|0.4|0.0|2|1|1.396|0.489|3|2|2.636|0.481
151.101.181.0/24|151.101.0.0/16|54113|1|20|18|169|67|0|0.4|0.0|2|1|1.396|0.489|3|2|2.636|0.481
151.101.182.0/24|151.101.0.0/16|54113|1|20|18|169|67|0|0.4|0.0|2|1|1.396|0.489|3|2|2.636|0.481
151.101.183.0/24|151.101.0.0/16|54113|1|20|18|169|67|0|0.4|0.0|2|1|1.396|0.489|3|2|2.636|0.481
151.101.184.0/24|151.101.0.0/16|54113|1|20|18|169|67|0|0.4|0.0|2|1|1.396|0.489|3|2|2.636|0.481
151.101.185.0/24|151.101.0.0/16|54113|1|20|18|169|67|0|0.4|0.0|2|1|1.396|0.489|3|2|2.636|0.481
151.101.186.0/24|151.101.0.0/16|54113|1|20|18|169|67|0|0.4|0.0|2|1|1.396|0.489|3|2|2.636|0.481
151.101.187.0/24|151.101.0.0/16|54113|1|20|18|169|67|0|0.4|0.0|2|1|1.396|0.489|3|2|2.636|0.481
151.101.188.0/24|151.101.0.0/16|54113|1|20|18|169|67|0|0.4|0.0|2|1|1.396|0.489|3|2|2.636|0.481
151.101.189.0/24|151.101.0.0/16|54113|1|20|18|169|67|0|0.4|0.0|2|1|1.396|0.489|3|2|2.636|0.481
151.101.190.0/24|151.101.0.0/16|54113|1|20|18|169|67|0|0.4|0.0|2|1|1.396|0.489|3|2|2.636|0.481
151.101.191.0/24|151.101.0.0/16|54113|1|20|18|169|67|0|0.4|0.0|2|1|1.396|0.489|3|2|2.636|0.481
151.101.196.0/24|151.101.0.0/16|54113|1|20|18|169|67|0|0.4|0.0|2|1|1.396|0.489|3|2|2.636|0.481
151.101.197.0/24|151.101.0.0/16|54113|1|20|18|169|67|0|0.4|0.0|2|1|1.396|0.489|3|2|2.636|0.481
151.101.198.0/24|151.101.0.0/16|54113|1|20|18|169|67|0|0.4|0.0|2|1|1.396|0.489|3|2|2.636|0.481
151.101.199.0/24|151.101.0.0/16|54113|1|20|18|169|67|0|0.4|0.0|2|1|1.396|0.489|3|2|2.636|0.481
151.101.200.0/24|151.101.0.0/16|54113|1|20|18|169|67|0|0.4|0.0|2|1|1.396|0.489|3|2|2.636|0.481
151.101.201.0/24|151.101.0.0/16|54113|1|20|18|169|67|0|0.4|0.0|2|1|1.396|0.489|3|2|2.636|0.481
151.101.202.0/24|151.101.0.0/16|54113|1|20|18|169|67|0|0.4|0.0|2|1|1.396|0.489|3|2|2.636|0.481
151.101.203.0/24|151.101.0.0/16|54113|1|20|18|169|67|0|0.4|0.0|2|1|1.396|0.489|3|2|2.636|0.481
151.101.204.0/24|151.101.0.0/16|54113|1|20|18|169|67|0|0.4|0.0|2|1|1.396|0.489|3|2|2.636|0.481
151.101.205.0/24|151.101.0.0/16|54113|1|20|18|169|67|0|0.4|0.0|2|1|1.396|0.489|3|2|2.636|0.481
151.101.206.0/24|151.101.0.0/16|54113|1|20|18|169|67|0|0.4|0.0|2|1|1.396|0.489|3|2|2.636|0.481
151.101.207.0/24|151.101.0.0/16|54113|1|20|18|169|67|0|0.4|0.0|2|1|1.396|0.489|3|2|2.636|0.481
151.101.208.0/24|151.101.0.0/16|54113|1|20|18|169|67|0|0.4|0.0|2|1|1.396|0.489|3|2|2.636|0.481
151.101.209.0/24|151.101.0.0/16|54113|1|20|18|169|67|0|0.4|0.0|2|1|1.396|0.489|3|2|2.636|0.481
151.101.210.0/24|151.101.0.0/16|54113|1|20|18|169|67|0|0.4|0.0|2|1|1.396|0.489|3|2|2.636|0.481
151.101.211.0/24|151.101.0.0/16|54113|1|20|18|169|67|0|0.4|0.0|2|1|1.396|0.489|3|2|2.636|0.481
151.101.212.0/24|151.101.0.0/16|54113|1|20|18|169|67|0|0.4|0.0|2|1|1.396|0.489|3|2|2.636|0.481
151.101.213.0/24|151.101.0.0/16|54113|1|20|18|169|67|0|0.4|0.0|2|1|1.396|0.489|3|2|2.636|0.481
151.101.214.0/24|151.101.0.0/16|54113|1|20|18|169|67|0|0.4|0.0|2|1|1.396|0.489|3|2|2.636|0.481
151.101.215.0/24|151.101.0.0/16|54113|1|20|18|169|67|0|0.4|0.0|2|1|1.396|0.489|3|2|2.636|0.481
151.101.216.0/24|151.101.0.0/16|54113|1|20|18|169|67|0|0.4|0.0|2|1|1.396|0.489|3|2|2.636|0.481
151.101.217.0/24|151.101.0.0/16|54113|1|20|18|169|67|0|0.4|0.0|2|1|1.396|0.489|3|2|2.636|0.481
151.101.218.0/24|151.101.0.0/16|54113|1|20|18|169|67|0|0.4|0.0|2|1|1.396|0.489|3|2|2.636|0.481
151.101.219.0/24|151.101.0.0/16|54113|1|20|18|169|67|0|0.4|0.0|2|1|1.396|0.489|3|2|2.636|0.481
151.101.220.0/24|151.101.0.0/16|54113|1|20|18|169|67|0|0.4|0.0|2|1|1.396|0.489|3|2|2.636|0.481
151.101.221.0/24|151.101.0.0/16|54113|1|20|18|169|67|0|0.4|0.0|2|1|1.396|0.489|3|2|2.636|0.481
151.101.222.0/24|151.101.0.0/16|54113|1|20|18|169|67|0|0.4|0.0|2|1|1.396|0.489|3|2|2.636|0.481
151.101.223.0/24|151.101.0.0/16|54113|1|20|18|169|67|0|0.4|0.0|2|1|1.396|0.489|3|2|2.636|0.481
151.101.224.0/24|151.101.0.0/16|54113|1|20|18|169|67|0|0.4|0.0|2|1|1.396|0.489|3|2|2.636|0.481
151.101.225.0/24|151.101.0.0/16|54113|1|20|18|169|67|0|0.4|0.0|2|1|1.396|0.489|3|2|2.636|0.481
151.101.226.0/24|151.101.0.0/16|54113|1|20|18|169|67|0|0.4|0.0|2|1|1.396|0.489|3|2|2.636|0.481
